Accession	Species	Group	Assembled Genome Size	N50	log(N50)	BUSCO completeness		
GCA_016165875.1	Acanthopleura granulata	Polyplacophora	606536932	23921462	7.378787719	0.958		
GCA_032466395.1	Aegires albopunctatus	other Nudibranchia	684506045	3853	3.585799009	0.425		
GCA_032466315.1	Aeolidia papillosa	other Nudibranchia	166752208	273	2.436162647	0.043		
GCA_026873925.1	Amphioctopus burryi	Cephalopoda	1031232840	3795778	6.579300804	0.086		
GCA_944989445.1	Ampullaceana balthica	other Heterobranchia	1105887359	816280	5.911839156	0.967		
GCA_032362125.1	Anatoma sagamiana	other Gastropoda	480995166	1617	3.20871002	0.224		
GCA_031833985.1	Ancula gibbosa	other Heterobranchia	638039246	1808	3.257198426	0.225		
GCA_009936545.3	Anentome helena	other Gastropoda	331994715	746	2.872738827	0.068		
GCA_000002075.2	Aplysia californica	other Heterobranchia	927310431	917541	5.96262548	0.933		
GCA_006491835.1	Architeuthis dux	Cephalopoda	2693618964	4852590	6.685973599	0.897		
GCA_004382745.1	Argopecten irradians irradians	Bivalvia	835595382	1533165	6.185588896	0.960		
GCA_032357075.1	Ariolimax columbianus	other Heterobranchia	1538428043	3903	3.591398551	0.148		
GCA_032362185.1	Arion rufus	other Heterobranchia	1081573424	2619	3.418135498	0.193		
GCA_020796225.1	Arion vulgaris	other Heterobranchia	1541026261	64342731	7.80849949	0.943		
GCA_011634625.1	Babylonia areolata	other Gastropoda	1108395005	6321	3.80078579	0.450		
GCA_021533235.1	Biomphalaria straminea	other Heterobranchia	1004745081	25272813	7.402653584	0.885		
GCA_028566455.1	Botula fusca	Bivalvia	1333706665	2171	3.336659823	0.114		
GCA_021962125.1	Bulinus truncatus	other Heterobranchia	1221776979	4956851	6.695205864	0.965		
GCA_032361085.1	Calliostoma canaliculatum	other Gastropoda	1181238711	2631	3.420120848	0.148		
GCA_905116865.2	Candidula unifasciata	other Heterobranchia	1356663438	398520	5.600450122	0.953		
GCA_014155875.1	Cepaea nemoralis	other Heterobranchia	3490924927	333110	5.52258767	0.939		
GCA_032359455.1	Chlamys rubida	Bivalvia	730677795	5975	3.77633791	0.393		
GCA_028571245.1	Chromodoris orientalis	other Nudibranchia	727712454	1798	3.254789687	0.089		
GCA_031471495.1	Clinocardium nuttallii	Bivalvia	869220304	4196	3.62283548	0.136		
GCA_032362205.1	Clione limacina	other Heterobranchia	1262273510	3463	3.539452492	0.247		
GCA_032355325.1	Clypeosectus delectus	other Gastropoda	402869688	3029	3.481299273	0.304		
GCA_027627225.1	Congeria kusceri	Bivalvia	1550116755	72441503	7.859987452	0.852		
GCA_016801955.1	Conus betulinus	other Gastropoda	3429626206	232489	5.366402409	0.897		
GCA_004193615.1	Conus consors	other Gastropoda	2049318684	1128	3.0523091	0.446		
GCA_001262575.1	Conus tribblei	other Gastropoda	2160493082	2681	3.428296814	0.293		
GCA_018398815.1	Conus ventricosus	other Gastropoda	3592060885	93519712	7.970903161	0.755		
GCA_031762895.1	Corambe burchi	other Nudibranchia	805281813	2466	3.391993072	0.257		
GCA_032360845.1	Crassadoma gigantea	Bivalvia	902550592	2900	3.462397998	0.270		
GCA_002022765.4	Crassostrea virginica	Bivalvia	684741128	75944018	7.880493571	0.982		
GCA_031471745.1	Cryptochiton stelleri	Polyplacophora	783734439	3175	3.50174373	0.136		
GCA_012932295.1	Cyclina sinensis	Bivalvia	903119975	46470132	7.667173906	0.927		
GCA_032358575.1	Dendronotus rufus	other Nudibranchia	466668337	2438	3.387033701	0.464		
GCA_031834005.1	Dendronotus venustus	other Nudibranchia	680167874	1977	3.296006669	0.678		
GCA_032274625.1	Depressigyra globulus	other Gastropoda	844640506	1760	3.245512668	0.192		
GCA_031471655.1	Diodora aspera	other Gastropoda	782408230	3970	3.598790507	0.204		
GCA_031763155.1	Dirona albolineata	other Nudibranchia	522790490	3353	3.525433553	0.519		
GCA_030265205.1	Dirona pellucida	other Nudibranchia	562136326	2554	3.407220893	0.486		
GCA_031762655.1	Doris verrucosa	other Nudibranchia	601029023	2285	3.358886204	0.200		
GCA_016106625.1	Dracogyra subfuscus	other Gastropoda	1161245404	5907	3.771366971	0.479		
GCA_007657795.1	Dreissena rostriformis	Bivalvia	1241703712	131390	5.118562313	0.749		
GCA_003991915.1	Elysia chlorotica	other Heterobranchia	557480303	441954	5.645377069	0.949		
GCA_019649035.1	Elysia marginata	other Heterobranchia	790322091	225654	5.353443036	0.890		
GCA_027564315.1	Enteroctopus dofleini	Cephalopoda	743946058	1386	3.14176323	0.121		
GCA_011762755.2	Epimenia babai	Aplacophora	537167073	5504	3.740678425	0.430		
GCA_031471215.1	Gastropteron pacificum	other Heterobranchia	549124366	2641	3.421768401	0.490		
GCA_032357055.1	Geukensia granosissima	Bivalvia	1176168485	4985	3.697665163	0.251		
GCA_002080005.1	Gigantidas platifrons	Bivalvia	1658191953	343341	5.535725668	0.927		
GCA_025762795.1	Goniobranchus coi	other Nudibranchia	677083788	1643	3.215637563	0.067		
GCA_028565935.1	Goniobranchus fidelis	other Nudibranchia	929280104	2040	3.309630167	0.122		
GCA_028565895.1	Goniobranchus geometricus	other Nudibranchia	907216199	2471	3.392872745	0.208		
GCA_025770095.1	Goniobranchus kuniei	other Nudibranchia	1190951304	2743	3.438225808	0.172		
GCA_028566475.1	Goniobranchus leopardus	other Nudibranchia	432546281	1177	3.070776463	0.033		
GCA_022045235.1	Haliotis cracherodii	other Gastropoda	1182252637	60096789	7.778851268	0.974		
GCA_008038995.1	Haliotis laevigata	other Gastropoda	1762655385	81233	4.909732492	0.804		
GCA_003918875.1	Haliotis rubra	other Gastropoda	1378282171	1227833	6.089139302	0.952		
GCA_023055435.1	Haliotis rufescens	other Gastropoda	1334454214	45695856	7.659876817	0.973		
GCA_015501135.1	Hapalochlaena maculosa	Cephalopoda	4009598772	931835	5.969339019	0.854		
GCA_031471375.1	Hermissenda crassicornis	other Nudibranchia	482625898	1642	3.215373153	0.223		
GCA_029822975.1	Japetella diaphana	Cephalopoda	661078023	1134	3.054613055	0.130		
GCA_032466195.1	Katharina tunicata	Polyplacophora	684265396	7290	3.862727528	0.541		
GCA_004794575.1	Lanistes nyassanus	other Gastropoda	507389202	317839	5.502207186	0.936		
GCA_032361305.1	Lepetodrilus cristatus	other Gastropoda	423420936	2903	3.462847036	0.309		
GCA_032361325.1	Lepetodrilus fucensis	other Gastropoda	489968333	5255	3.72057272	0.535		
GCA_032361785.1	Lepetodrilus galriftensis	other Gastropoda	520028133	4442	3.647578554	0.492		
GCA_032361185.1	Lepetodrilus ovalis	other Gastropoda	580611032	4139	3.616895426	0.417		
GCA_032355345.1	Lepetodrilus pustulosus	other Gastropoda	454351774	3652	3.562530769	0.326		
GCA_032361225.1	Lepetodrilus schrolli	other Gastropoda	425238333	10385	4.016406501	0.605		
GCA_032361465.1	Lepetodrilus tevnianus	other Gastropoda	418128908	3259	3.51308436	0.337		
GCA_032360285.1	Lepidozona retiporosa	Polyplacophora	502844018	2286	3.359076226	0.308		
GCA_009866985.1	Limacina bulimoides	other Heterobranchia	2901939372	893	2.950851459	0.281		
GCA_028566495.1	Lithophaga antillarum	Bivalvia	1419759205	2680	3.428134794	0.106		
GCA_028566555.1	Lithophaga nigra	Bivalvia	1492027032	2310	3.36361198	0.095		
GCA_000327385.1	Lottia gigantea	other Gastropoda	359505668	1870055	6.27185438	0.970		
GCA_029955415.1	Lottia scabra	other Gastropoda	414091288	17311013	7.238322483	0.964		
GCA_032359355.1	Macoma nasuta	Bivalvia	1400738402	2427	3.385069776	0.160		
GCA_032209605.1	Mactromeris polynyma	Bivalvia	792970777	19358185	7.286864636	0.931		
GCA_016163765.1	Magallana hongkongensis	Bivalvia	757928205	72332161	7.85933144	0.958		
GCA_016617855.1	Megalonaias nervosa	Bivalvia	2365218322	50649	4.704570875	0.715		
GCA_032433765.1	Megaustenia siamemsis	other Heterobranchia	2591266008	84301762	7.925836652	0.834		
GCA_032355825.1	Melanodrymia aurantiaca	other Gastropoda	420049349	3869	3.58759873	0.351		
GCA_032273805.1	Melanodrymia brightae	other Gastropoda	335313851	3371	3.527758753	0.248		
GCA_028565955.2	Melanoides tuberculata	other Gastropoda	970667096	1061	3.025715384	0.137		
GCA_031471865.1	Melibe leonina	other Nudibranchia	565344392	3633	3.560265398	0.519		
GCA_002113885.2	Mizuhopecten yessoensis	Bivalvia	987588634	803631	5.905056681	0.969		
GCA_002080025.1	Modiolus philippinarum	Bivalvia	2629556424	100161	5.000698652	0.870		
GCA_031763545.1	Mopalia muscosa	Polyplacophora	661939908	6999	3.845035994	0.329		
GCA_030265315.1	Mopalia swanii	Polyplacophora	860836749	2400	3.380211242	0.205		
GCA_030265115.1	Mopalia vespertina	Polyplacophora	676010105	7077	3.849849196	0.370		
GCA_027122395.1	Muusoctopus eicomar	Cephalopoda	344064830	732	2.864511081	0.042		
GCA_027124095.1	Muusoctopus leioderma	Cephalopoda	1531747144	3814	3.581380689	0.317		
GCA_027122495.1	Muusoctopus longibrachus	Cephalopoda	1067355155	2244	3.351022853	0.227		
GCA_021869535.1	Mytilus californianus	Bivalvia	1651950171	117871512	8.071408854	0.945		
GCA_032362005.1	Nodopelta heminoda	other Gastropoda	447006627	1780	3.250420002	0.251		
